samples,NMFconsushctree,class
TCGA-18-3417,1,Exhausted
TCGA-21-5787,1,Exhausted
TCGA-22-4593,1,Exhausted
TCGA-22-5481,1,Exhausted
TCGA-22-5492,1,Exhausted
TCGA-34-5236,1,Exhausted
TCGA-34-5239,1,Exhausted
TCGA-34-5928,1,Exhausted
TCGA-34-8454,1,Exhausted
TCGA-34-8455,1,Exhausted
TCGA-39-5029,1,Exhausted
TCGA-39-5030,1,Exhausted
TCGA-39-5034,1,Exhausted
TCGA-39-5039,1,Exhausted
TCGA-39-5040,1,Exhausted
TCGA-43-5668,1,Exhausted
TCGA-43-5670,1,Exhausted
TCGA-43-6647,1,Exhausted
TCGA-43-6773,1,Exhausted
TCGA-43-8115,1,Exhausted
TCGA-43-A475,1,Exhausted
TCGA-56-6546,1,Exhausted
TCGA-56-8201,1,Exhausted
TCGA-56-8307,1,Exhausted
TCGA-56-8503,1,Exhausted
TCGA-56-8625,1,Exhausted
TCGA-58-8386,1,Exhausted
TCGA-58-8390,1,Exhausted
TCGA-60-2697,1,Exhausted
TCGA-60-2703,1,Exhausted
TCGA-60-2704,1,Exhausted
TCGA-63-6202,1,Exhausted
TCGA-63-A5MM,1,Exhausted
TCGA-63-A5MN,1,Exhausted
TCGA-63-A5MT,1,Exhausted
TCGA-68-A59I,1,Exhausted
TCGA-70-6722,1,Exhausted
TCGA-77-6842,1,Exhausted
TCGA-77-7335,1,Exhausted
TCGA-77-8007,1,Exhausted
TCGA-77-8136,1,Exhausted
TCGA-77-8139,1,Exhausted
TCGA-77-8145,1,Exhausted
TCGA-77-A5FZ,1,Exhausted
TCGA-77-A5G1,1,Exhausted
TCGA-85-6175,1,Exhausted
TCGA-85-6560,1,Exhausted
TCGA-85-7699,1,Exhausted
TCGA-85-8276,1,Exhausted
TCGA-85-8288,1,Exhausted
TCGA-85-8351,1,Exhausted
TCGA-85-8353,1,Exhausted
TCGA-85-8481,1,Exhausted
TCGA-85-8584,1,Exhausted
TCGA-85-8664,1,Exhausted
TCGA-85-A50M,1,Exhausted
TCGA-85-A510,1,Exhausted
TCGA-85-A511,1,Exhausted
TCGA-90-7767,1,Exhausted
TCGA-90-A4EE,1,Exhausted
TCGA-96-7544,1,Exhausted
TCGA-96-A4JL,1,Exhausted
TCGA-98-8020,1,Exhausted
TCGA-98-8023,1,Exhausted
TCGA-98-A53D,1,Exhausted
TCGA-LA-A7SW,1,Exhausted
TCGA-NC-A5HE,1,Exhausted
TCGA-NC-A5HJ,1,Exhausted
TCGA-NC-A5HK,1,Exhausted
TCGA-NK-A5D1,1,Exhausted
TCGA-O2-A52Q,1,Exhausted
TCGA-18-5592,2,Rest
TCGA-22-4601,2,Rest
TCGA-22-5483,2,Rest
TCGA-22-A5C4,2,Rest
TCGA-33-4586,2,Rest
TCGA-33-6738,2,Rest
TCGA-34-5240,2,Rest
TCGA-34-8456,2,Rest
TCGA-37-5819,2,Rest
TCGA-37-A5EL,2,Rest
TCGA-37-A5EN,2,Rest
TCGA-39-5016,2,Rest
TCGA-39-5037,2,Rest
TCGA-43-A474,2,Rest
TCGA-46-6025,2,Rest
TCGA-46-6026,2,Rest
TCGA-56-7223,2,Rest
TCGA-56-7730,2,Rest
TCGA-56-7823,2,Rest
TCGA-56-8082,2,Rest
TCGA-56-8308,2,Rest
TCGA-56-A4BX,2,Rest
TCGA-56-A62T,2,Rest
TCGA-58-8387,2,Rest
TCGA-58-A46K,2,Rest
TCGA-58-A46M,2,Rest
TCGA-63-5131,2,Rest
TCGA-63-7023,2,Rest
TCGA-63-A5M9,2,Rest
TCGA-63-A5MJ,2,Rest
TCGA-63-A5MP,2,Rest
TCGA-63-A5MU,2,Rest
TCGA-68-7755,2,Rest
TCGA-68-7756,2,Rest
TCGA-70-6723,2,Rest
TCGA-77-6843,2,Rest
TCGA-77-6845,2,Rest
TCGA-77-7139,2,Rest
TCGA-77-7140,2,Rest
TCGA-77-8009,2,Rest
TCGA-77-8128,2,Rest
TCGA-77-8133,2,Rest
TCGA-77-8148,2,Rest
TCGA-77-8150,2,Rest
TCGA-77-A5G3,2,Rest
TCGA-77-A5G6,2,Rest
TCGA-77-A5GF,2,Rest
TCGA-79-5596,2,Rest
TCGA-85-6798,2,Rest
TCGA-85-7843,2,Rest
TCGA-85-8052,2,Rest
TCGA-85-8071,2,Rest
TCGA-85-8277,2,Rest
TCGA-85-8352,2,Rest
TCGA-85-A4CN,2,Rest
TCGA-85-A512,2,Rest
TCGA-92-8063,2,Rest
TCGA-94-8035,2,Rest
TCGA-94-8491,2,Rest
TCGA-94-A5I4,2,Rest
TCGA-94-A5I6,2,Rest
TCGA-96-A4JK,2,Rest
TCGA-98-A538,2,Rest
TCGA-98-A53I,2,Rest
TCGA-J1-A4AH,2,Rest
TCGA-L3-A524,2,Rest
TCGA-NC-A5HD,2,Rest
TCGA-NC-A5HL,2,Rest
TCGA-NC-A5HN,2,Rest
TCGA-NC-A5HP,2,Rest
TCGA-NC-A5HT,2,Rest
TCGA-O2-A52S,2,Rest
TCGA-O2-A5IB,2,Rest
TCGA-33-4589,3,Rest
TCGA-34-5232,3,Rest
TCGA-34-A5IX,3,Rest
TCGA-39-5024,3,Rest
TCGA-39-5028,3,Rest
TCGA-43-A56V,3,Rest
TCGA-52-7810,3,Rest
TCGA-56-7579,3,Rest
TCGA-56-7822,3,Rest
TCGA-77-7337,3,Rest
TCGA-77-8130,3,Rest
TCGA-85-7697,3,Rest
TCGA-85-A4JB,3,Rest
TCGA-85-A4JC,3,Rest
TCGA-90-6837,3,Rest
TCGA-90-7769,3,Rest
TCGA-92-7340,3,Rest
TCGA-92-8065,3,Rest
TCGA-94-8490,3,Rest
TCGA-96-8170,3,Rest
TCGA-NC-A5HF,3,Rest
TCGA-NC-A5HG,3,Rest
TCGA-NC-A5HO,3,Rest
TCGA-NC-A5HQ,3,Rest
TCGA-NK-A5CX,3,Rest
TCGA-33-6737,4,Rest
TCGA-33-A5GW,4,Rest
TCGA-33-AASI,4,Rest
TCGA-56-8624,4,Rest
TCGA-56-8629,4,Rest
TCGA-56-A49D,4,Rest
TCGA-56-A4BW,4,Rest
TCGA-58-8391,4,Rest
TCGA-58-A46J,4,Rest
TCGA-58-A46L,4,Rest
TCGA-63-A5MI,4,Rest
TCGA-63-A5MV,4,Rest
TCGA-77-6844,4,Rest
TCGA-77-7465,4,Rest
TCGA-77-8140,4,Rest
TCGA-77-8143,4,Rest
TCGA-77-A5G8,4,Rest
TCGA-85-A50Z,4,Rest
TCGA-85-A53L,4,Rest
TCGA-90-A59Q,4,Rest
TCGA-98-A539,4,Rest
TCGA-NC-A5HR,4,Rest
TCGA-NK-A7XE,4,Rest
